id,submitted_date,Gender,Race,Age,State,Segment,branch,model,SalePrice,Deposit,Tenure,GrossIncome,NetIncome,Commitment,Instalment,FinancingAmount,DSR,DI,iScore,MOF,Status
4517,18/08/2021,Male,Malay,22,SWK,EDU,SUBANG,H-RS150R TRICO,11090,2810,36,1355,1222,200,299,8280,0.4083,723,7,0.7466,approved
4518,18/08/2021,Male,Malay,24,SGR,MNC,MERU,H-RS150RR,12090,1210,36,2112.31,1903.26,0,393,10880,0,,7,0.8999,rejected
4519,18/08/2021,Male,Malay,44,PRK,SRC,SUBANG,H-RS150R TRICO,11090,1110,36,2150,2120,0,361,9980,0,,4,0.8999,rejected
4520,19/08/2021,Female,Indian,54,SGR,MNC,PANGLIMA,H-WAVEAL,6280,630,48,1299,1043,0,165,5650,0.158,878.21,7,0.8997,rejected
4521,18/08/2021,Male,Malay,34,PNG,SRC,RAWANG,H-DASHRREPSOL,8570,860,48,1194,1051,0,225,7710,0,,4,0.8996,rejected
4522,18/08/2021,Male,Malay,54,SGR,SRC,SS,Y-135LC AC,9290,930,36,2700,2384,248,302,8360,0.2307,1834.11,9,0.8999,stockout
4523,18/08/2021,Male,Malay,24,SGR,OTH,ONLINE SALES,H-DASHR152,8370,860,36,2600,2500,0,272,7510,0.1085,2228.81,5,0.8973,stockout
4524,18/08/2021,Female,Indian,25,KUL,SALE,PUCHONG,H-DASHRREPSOL,8570,860,36,2915,2573.35,0,279,7710,0,,3,0.8996,rejected
4525,18/08/2021,Male,Malay,47,PRK,SRC,SRI KBGAN,Y-135LC AC,9290,930,48,3800,3030.11,0,244,8360,0,,4,0.8999,rejected
4526,18/08/2021,Male,Indian,44,KUL,SRC,RAWANG,H-DASHR152,8370,840,36,1750,1543,839,272,7530,0.72,432.08,9,0.8996,stockout
4527,18/08/2021,Male,Malay,20,SGR,MNC,PANGLIMA,H-DASHR152,8370,1090,36,1234,1145,0,263,7280,0.2296,882.11,0,0.8698,approved
4528,18/08/2021,Male,Malay,28,KTN,SRC,SRI KBGAN,Y-135LC AC,9290,2000,24,1496,1353,0,365,7290,0.2694,988.5,0,0.7847,rejected
4529,19/08/2021,Female,Malay,28,KUL,SRC,SRI KBGAN,H-RS150R TRICO,11090,1110,48,2300,2031,1034,292,9980,0.6524,705.92,6,0.8999,approved
4530,19/08/2021,Male,Malay,21,KUL,TRD,S.BULOH,H-RS150R TRICO,11090,1130,48,1800,1600,0,291,9960,0,,2,0.8981,rejected
4531,19/08/2021,Male,Malay,53,PRK,MNC,T.PULAI,H-DASHRREPSOL,8570,880,36,6500,5677,1576,278,7690,0.3265,3823.31,7,0.8973,cancelled
4532,19/08/2021,Female,Malay,21,SGR,MNC,PANGLIMA,H-DASHRREPSOL,8570,860,48,1400,1300,0,225,7710,0.173,1075.13,0,0.8996,rejected
4534,19/08/2021,Female,Malay,27,SGR,SRC,RAWANG,H-WAVEAL,6280,630,48,1835,1645.05,0,165,5650,0,,4,0.8997,rejected
4535,20/08/2021,Male,Malay,37,KUL,SRC,S.BULOH,Y-Y15ZR,11710,1710,48,3097,2403,0,292,10000,0.1214,2111.33,0,0.854,reverted
4536,19/08/2021,Male,Malay,27,KTN,IT,SUBANG,H-DASHR152,8370,860,36,3660,3239,1168,272,7510,0.4443,1799.81,5,0.8973,stockout
