id,Date,Dealer,Gender,Race,Age,State,Segment,branch,model,SalePrice,Deposit,Tenure,GrossIncome,NetIncome,Commitment,Instalment,FinancingAmount,DSR,DI,iScore,MOF,Status
4862,30/08/2021,GTM,Female,Malay,23,KDH,SRC,ONLINE SALES,Y-Y15ZR,11710,1690,48,1814,961.26,0,293,10020,0.304,669.01,0,0.8557,approved
4863,30/08/2021,GTM,Male,Malay,24,KTN,OTH,ONLINE SALES,Y-Y15ZR,11710,1690,48,2020,1582,0,293,10020,0.1847,1289.75,5,0.8557,approved
4864,30/08/2021,GTM,Male,Indian,23,KUL,SRC,RAWANG,Y-135LC AC-WA,9890,990,48,1120,1010,0,260,8900,0.257,750.42,0,0.8999,cancelled
4866,30/08/2021,GTM,Male,Malay,21,PLS,IT,SS,Y-Y15ZR,11710,1690,48,1624,1464,0,293,10020,0.1996,1171.75,0,0.8557,stockout
4867,30/08/2021,GTM,Female,Malay,32,SGR,MNC,SENTOSA,H-WAVER125IM,8620,2660,48,6263,5026,1775,174,5960,0.3878,3077.17,7,0.6914,approved
4868,30/08/2021,GTM,Female,Malay,19,KUL,SRC,ONLINE SALES,Y-135LC AC,9290,930,48,1200,1083,0,244,8360,0.2251,839.17,0,0.8999,approved
4869,30/08/2021,GTM,Male,Malay,52,SWK,SRC,SRI KBGAN,H-WAVEAL,6280,630,36,12256.61,8226.8,0,205,5650,0,,4,0.8997,rejected
4870,30/08/2021,GTM,Female,Malay,22,KTN,SRC,SA,Y-EGOSO,7320,730,36,1200,1057,0,238,6590,0.2251,819.03,0,0.9003,rejected
4872,30/08/2021,GTM,Female,Malay,23,SGR,MNC,KAPAR,Y-115Z(UE15),7630,770,36,1600,1448.15,0,248,6860,0,,5,0.8991,reverted
4873,30/08/2021,GTM,Male,Malay,31,KDH,MNC,R.PANJANG,H-WAVER125IM,8620,1200,36,1300,1040,0,268,7420,0.2576,772.06,0,0.8608,rejected
4874,30/08/2021,GTM,Female,Malay,30,NSN,OTH,SS,Y-135LC SE,9740,1160,48,1751,1270,651,251,8580,0.7096,368.75,8,0.8809,archived
4875,30/08/2021,GTM,Female,Indian,19,SGR,MNC,SENTOSA,Y-135LC AC,9290,960,24,1300,1174,0,417,8330,0.3548,757.5,0,0.8967,archived
4876,30/08/2021,GTM,Male,Malay,21,KDH,OTH,S.UTAMA,Y-EGOSO,7320,730,48,1562,1428,0,193,6590,0.1346,1235.79,0,0.9003,approved
4877,30/08/2021,GTM,Male,Malay,20,KTN,OTH,ONLINE SALES,Y-135LC AC,9290,950,48,1200,1053,0,244,8340,0.231,809.75,0,0.8977,rejected
4878,30/08/2021,GTM,Male,Malay,23,SGR,MNC,KAPAR,Y-115Z(UE15),7630,770,36,1941,1694,0,248,6860,0.1462,1446.28,0,0.8991,rejected
4879,30/08/2021,GTM,Female,Malay,19,SGR,MNC,KAPAR,Y-EGOAV,7650,770,36,1703,1317,0,249,6880,0.1886,1068.56,5,0.8993,cancelled
4880,30/08/2021,GTM,Male,Malay,20,PHG,SRC,RAWANG,Y-Y15ZR,11710,1690,48,2000,1800,0,293,10020,0,,5,0.8557,cancelled
4882,30/08/2021,GTM,Female,Malay,20,SGR,SALE,S.UTAMA,Y-115Z(UE15),7630,770,48,1503,1141,0,201,6860,0.1754,940.92,5,0.8991,approved
4883,30/08/2021,GTM,Male,Malay,40,KTN,MNC,PUCHONG,Y-Y16ZR,13620,5000,36,5180,4745,2111,312,8620,0.5105,2322.72,7,0.6329,stockout
4885,30/08/2021,GTM,Male,Indian,23,KUL,SRC,RAWANG,Y-135LC AC,9690,970,48,1120,1010,0,255,8720,0.2518,755.67,0,0.8999,archived
4886,30/08/2021,GTM,Female,Malay,20,PRK,SRC,RAWANG,Y-Y15ZR,11710,1690,48,1600,1500,0,293,10020,0,,0,0.8557,rejected
4887,30/08/2021,GTM,Male,Malay,33,JHR,SRC,SS,Y-Y15ZR,11710,1690,48,3495,2000,1085,293,10020,0.6886,622.75,5,0.8557,archived
4890,31/08/2021,GTM,Male,Malay,23,PRK,SRC,MERU,Y-Y15ZR,11710,1710,36,2500,1900,0,362,10000,0.1901,1538.89,0,0.854,approved
4891,31/08/2021,GTM,Male,Malay,47,SGR,SRC,MERU,H-WAVER125IM,8620,860,48,1857,1857,0,227,7760,0.1219,1630.67,4,0.9002,rejected
4893,31/08/2021,GTM,Female,Indian,40,SGR,EDU,KAPAR,Y-Y15ZR,11710,1690,36,1515,961,354,362,10020,0.7449,245.17,9,0.8557,stockout
